ip Source,ip Destination,Protocol,Epoch
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:05:18.477046000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:18.479293000"
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:05:18.486255000"
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:05:18.493645000"
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:05:18.515548000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:18.518055000"
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:05:18.619649000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:18.623827000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:18.800226000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:18.800754000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:18.820423000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:18.820603000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:18.840003000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:18.840570000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:18.851521000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:18.851696000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:18.914905000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:18.915261000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:18.918795000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:18.918936000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.142648000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.142658000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.142661000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:19.143193000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.174270000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.174275000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.174277000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:19.174539000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.210361000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.210365000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:19.210366000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:19.210671000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:20.657295000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:20.657433000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:20.657452000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:20.657526000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:20.942635000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:20.942745000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:20.942773000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:20.942875000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:20.979782000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.048795000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.131662000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.131774000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.131801000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.131923000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.265041000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.315754000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.425021000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.471911000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.563000000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.563010000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.563013000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.563015000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.563590000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.574156000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.586468000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.586983000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.598579000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.610804000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.611152000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.619720000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.631393000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.631651000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.643300000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.654940000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.655483000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.666527000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.678250000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.678501000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.689756000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.702050000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.702483000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.848970000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.848981000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.848983000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.848985000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.849597000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.859357000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.871526000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.872023000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.883370000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.883378000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.889371000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.889573000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.894806000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.894967000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.901320000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.907398000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.913367000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.913871000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.919468000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.919996000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.920424000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.920435000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.920437000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.920439000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.920974000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.924842000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.930671000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.930724000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.936287000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.936643000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.940597000"
